"";"id";"attributes.externalId";"attributes.commercialFollowUp";"attributes.centroidLongitude";"attributes.centroidLatitude"
"790";21193;1635;"Follow up";6,5236664;50,3655268
"791";22563;2966;"Follow up";6,136322;50,082622
"792";21609;1943;"Follow up";2,269621;49,595455
"793";21493;1839;"Follow up";4,135486;45,385391
"794";21561;1912;"Follow up";-0,882222;48,624167
"795";22561;2965;"Follow up";6,1115;50,0874
"796";21451;1798;"Follow up";1,21786;49,799273
"797";22559;2964;"Follow up";-1,396389;47,064833
"798";21677;1998;"Follow up";-2,230801;47,711101
"799";22557;2963;"Follow up";5,844095;43,345437
"800";22555;2962;"Follow up";4,274962;47,866782
"801";22553;2961;"Follow up";2,502576;43,642605
"802";22551;2960;"Follow up";3,743499;45,24301
"803";22549;2959;"Follow up";-0,492613;46,768531
"804";22547;2958;"Follow up";-81,814139;29,733528
"805";21529;1875;"Follow up";7,689775;48,920275
"806";21527;1874;"Follow up";7,694013;48,939553
"807";22545;2957;"Follow up";2,195263;43,479187
"808";22543;2956;"Follow up";3,86488414;44,61939735
"809";22541;2955;"Follow up";10,800479;54,284301
"810";21521;1871;"Follow up";4,609688;46,351786
"811";22539;2954;"Follow up";5,709782;43,322381
"812";22537;2953;"Follow up";-16,29225;13,74425
"813";21759;2076;"Follow up";3,377867;45,45741
"814";22119;2704;"Follow up";-1,093556;54,50158
"815";21435;1777;"Follow up";-0,348644;46,760966
"816";22117;2703;"Follow up";5,731494;43,891035
"817";22115;2702;"Follow up";-1,066969;42,853189
"818";22113;2701;"Follow up";-1,095594;41,90557
"819";21695;2016;"Follow up";-0,999117;42,726383
"820";21599;1936;"Follow up";2,869336;43,688377
"821";21787;2099;"Follow up";2,510719;43,782447
"822";21479;1828;"Follow up";3,739001;45,608301
"823";21455;1800;"Follow up";-1,881509;47,712608
"824";22111;2699;"Follow up";6,249473;49,102087
"825";21783;2097;"Follow up";2,668139;43,724261
"826";21745;2066;"Follow up";5,381948;51,339119
"827";21739;2063;"Follow up";-6,231;53,167111
"828";21587;1929;"Follow up";4,794615;44,700542
"829";22109;2697;"Follow up";-0,236953;44,222154
"830";22107;2696;"Follow up";2,246269;45,769804
"831";22105;2695;"Follow up";0,4752;46,6535
"832";22103;2694;"Follow up";0,705356597900391;46,5834062186124
"833";22101;2693;"Follow up";-0,143596;48,592195
"834";21641;1968;"Follow up";0,089049;48,750063
"835";22099;2692;"Follow up";-4,218836;48,329678
"836";22097;2691;"Follow up";16,2878;49,3091
"837";22095;2690;"Follow up";3,881644;49,038319
"838";21183;1630;"Follow up";-77,6060756198568;0,968414536700681
"839";21575;1921;"Follow up";2,28885;45,708665
"840";22093;2688;"Follow up";1,827942;45,365515
"841";22091;2687;"Follow up";2,185639;45,636194
"842";21581;1925;"Follow up";3,206945;46,474415
"843";22089;2686;"Follow up";6,39667;49,165323
"844";21699;2023;"Follow up";-0,615756;47,851063
"845";21171;1623;"Follow up";3,545165;45,512921
"846";21623;1955;"Follow up";0,674;46,187
"847";22087;2685;"Follow up";3,305832;44,588053
"848";21751;2069;"Follow up";0,2794;49,0171
"849";22085;2684;"Follow up";7,481014;48,240101
"850";22083;2683;"Follow up";9,768116;56,196799
"851";22081;2682;"Follow up";5,924184;46,767705
"852";22079;2681;"Follow up";2,502789;48,442047
"853";22077;2680;"Follow up";-0,701755;47,142618
"854";21693;2014;"Follow up";3,471015;44,132584
"855";22075;2679;"Follow up";3,86486;44,532842
"856";22073;2678;"Follow up";3,895715;44,485848
"857";22071;2677;"Follow up";-49,0789;-3,2898
"858";22069;2676;"Follow up";1,804883;49,680401
"859";22067;2675;"Follow up";121,08712;50,55608
"860";22065;2674;"Follow up";19,1926922384487;-33,5311205857941
"861";21515;1861;"Follow up";-21,427592;63,893192
"862";21713;2032;"Follow up";1,09741;48,01697
"863";22063;2673;"Follow up";-3,626011;48,406657
"864";21671;1993;"Follow up";1,958611;50,707501
"865";21525;1873;"Follow up";7,133936;49,027106
"866";22061;2672;"Follow up";1,921438;46,493965
"867";22059;2671;"Follow up";3,3975;50,6561111
"868";22057;2670;"Follow up";5,857833;50,661528
"869";21437;1778;"Follow up";-0,712157;46,826806
"870";22055;2669;"Follow up";7,7647;51,413276
"871";21557;1908;"Follow up";0,646951;49,043212
"872";21555;1907;"Follow up";4,751553;46,102988
"873";21631;1959;"Follow up";0,111169;48,119693
"874";21497;1842;"Follow up";0,234492;47,077606
"875";21439;1779;"Follow up";-0,444834;46,856083
"876";22053;2668;"Follow up";3,276308;45,149434
"877";22051;2665;"Follow up";2,63572;43,985667
"878";22049;2664;"Follow up";7,7647;51,413276
"879";22047;2663;"Follow up";5,080375;49,695464
"880";21425;1756;"Follow up";3,977996;49,115471
